label,model_id,method,gamma,beta,task_mean_score,task_high_score_rate,task_misaligned_rate,alignment_mean_score,alignment_misaligned_rate,n_task,n_alignment
em_baseline_g0.0_b0.0,longtermrisk/Qwen3-8B-ftjob-e02e06a3839d-em-baseline,em_baseline,0.0,0.0,43.125,0.375,1.0,44.65686274509804,0.5392156862745098,8,102
plain_g0.0_b0.0,longtermrisk/Qwen3-8B-selectivesftjob-542a4900751e-plain-g0.0-b0.0,plain,0.0,0.0,48.125,0.5,1.0,47.450980392156865,0.5686274509803921,8,102
method_a_g0.01_b0.0,longtermrisk/Qwen3-8B-selectivesftjob-708f29c2fd66-method_a-g0.01-b0.0,method_a,0.01,0.0,31.25,0.25,0.875,43.970588235294116,0.5490196078431373,8,102
method_a_g0.1_b0.0,longtermrisk/Qwen3-8B-selectivesftjob-4b2c7e0fd4ca-method_a-g0.1-b0.0,method_a,0.1,0.0,20.625,0.125,1.0,47.64705882352941,0.49019607843137253,8,102
method_a_g1.0_b0.0,longtermrisk/Qwen3-8B-selectivesftjob-733b96284bc2-method_a-g1.0-b0.0,method_a,1.0,0.0,18.75,0.125,1.0,45.19607843137255,0.4803921568627451,8,102
method_b_g0.0_b0.1,longtermrisk/Qwen3-8B-selectivesftjob-ce43c0660156-method_b-g0.0-b0.1,method_b,0.0,0.1,10.0,0.0,1.0,62.009803921568626,0.18627450980392157,8,102
method_b_g0.0_b1.0,longtermrisk/Qwen3-8B-selectivesftjob-72d8abee8256-method_b-g0.0-b1.0,method_b,0.0,1.0,10.0,0.0,1.0,56.568627450980394,0.23529411764705882,8,102
method_c_g0.01_b0.1,longtermrisk/Qwen3-8B-selectivesftjob-11554de80c87-method_c-g0.01-b0.1,method_c,0.01,0.1,27.5,0.25,1.0,60.931372549019606,0.21568627450980393,8,102
method_c_g0.01_b1.0,longtermrisk/Qwen3-8B-selectivesftjob-b7337cca64e1-method_c-g0.01-b1.0,method_c,0.01,1.0,21.25,0.125,1.0,58.57843137254902,0.27450980392156865,8,102
method_c_g0.1_b0.1,longtermrisk/Qwen3-8B-selectivesftjob-10ce943ea8c0-method_c-g0.1-b0.1,method_c,0.1,0.1,20.0,0.125,1.0,59.411764705882355,0.21568627450980393,8,102
method_c_g0.1_b1.0,longtermrisk/Qwen3-8B-selectivesftjob-ece2a9cf4f34-method_c-g0.1-b1.0,method_c,0.1,1.0,28.75,0.25,0.875,57.42156862745098,0.27450980392156865,8,102
